id,createdAt,updatedAt,uploadedUrl,streamableUrl,transcodeJobId,transcodeStatus,transcodeMessage,duration,is_speech
4368c30e-a587-483c-86df-749ee160e930,2021-02-08 18:12:12.133277,2021-02-08 18:12:12.133277,https://says-api-uploaded-audio-dev.s3.amazonaws.com/saysuseraudio1612807931889.m4a,https://says-api-streamable-audio-dev.s3.amazonaws.com/saysuseraudio1612807931889.mp3,1612807932078-sin4uz,Submitted,,,True
d30d00f8-633d-4c85-9f10-e41fc0ea4780,2021-02-09 16:05:37.929757,2021-02-09 16:05:37.929757,https://says-api-uploaded-audio-dev.s3.amazonaws.com/saysuseraudio1612886737701.m4a,https://says-api-streamable-audio-dev.s3.amazonaws.com/saysuseraudio1612886737701.mp3,1612886737875-8x74sh,Submitted,,,True
da974a87-3062-4084-9f08-387eaa2dd9e0,2021-03-15 04:50:46.875269,2021-03-15 04:55:46.985315,https://says-api-uploaded-audio.s3.amazonaws.com/saysuseraudio1615783846615.m4a,https://says-api-streamable-audio.s3.amazonaws.com/saysuseraudio1615783846615.mp3,1615783846760-9zsc2u,Complete,Transcode job 1615783846760-9zsc2u was completed.,6.0,False
1dff287a-bf34-4e80-9505-52766d2bfda8,2021-02-09 17:49:14.799697,2021-02-09 17:49:14.799697,https://says-api-uploaded-audio-dev.s3.amazonaws.com/saysuseraudio1612892954609.m4a,https://says-api-streamable-audio-dev.s3.amazonaws.com/saysuseraudio1612892954609.mp3,1612892954758-rkkrui,Submitted,,,True
83ab625b-736c-4ec9-acc9-6f037cd42d84,2021-03-15 04:51:11.921958,2021-03-15 04:56:12.024077,https://says-api-uploaded-audio.s3.amazonaws.com/saysuseraudio1615783871666.m4a,https://says-api-streamable-audio.s3.amazonaws.com/saysuseraudio1615783871666.mp3,1615783871838-ix7lro,Complete,Transcode job 1615783871838-ix7lro was completed.,6.0,False
a7c269ed-f38b-4f15-a7b2-b692cdb53a29,2021-03-15 05:44:59.107503,2021-03-15 05:49:59.252475,https://says-api-uploaded-audio.s3.amazonaws.com/saysuseraudio1615787098879.m4a,https://says-api-streamable-audio.s3.amazonaws.com/saysuseraudio1615787098879.mp3,1615787098967-rovevn,Complete,Transcode job 1615787098967-rovevn was completed.,5.0,False
c0fe394b-6f0e-4cb1-934b-52248c1fa505,2021-03-15 05:39:20.716545,2021-03-15 05:44:20.827050,https://says-api-uploaded-audio.s3.amazonaws.com/saysuseraudio1615786760241.m4a,https://says-api-streamable-audio.s3.amazonaws.com/saysuseraudio1615786760241.mp3,1615786760607-fhkqms,Complete,Transcode job 1615786760607-fhkqms was completed.,6.0,False
ca6f5410-ca34-42bc-a16d-b76d78e82435,2021-03-15 05:52:58.483459,2021-03-15 05:57:58.602653,https://says-api-uploaded-audio.s3.amazonaws.com/saysuseraudio1615787578263.m4a,https://says-api-streamable-audio.s3.amazonaws.com/saysuseraudio1615787578263.mp3,1615787578398-pbpqbp,Complete,Transcode job 1615787578398-pbpqbp was completed.,6.0,False
ad49e621-f522-4ff2-a665-2c2fbad16fc2,2021-03-15 05:56:10.311979,2021-03-15 06:01:10.430044,https://says-api-uploaded-audio.s3.amazonaws.com/saysuseraudio1615787770109.m4a,https://says-api-streamable-audio.s3.amazonaws.com/saysuseraudio1615787770109.mp3,1615787770218-jttyga,Complete,Transcode job 1615787770218-jttyga was completed.,6.0,False
6bc7b6cd-ff35-434b-b9f9-8fb1105a0cf3,2021-03-15 05:59:05.735295,2021-03-15 06:04:05.822320,https://says-api-uploaded-audio.s3.amazonaws.com/saysuseraudio1615787945546.m4a,https://says-api-streamable-audio.s3.amazonaws.com/saysuseraudio1615787945546.mp3,1615787945654-yxg3nh,Complete,Transcode job 1615787945654-yxg3nh was completed.,4.0,False
a1674039-a3bb-46e7-aefb-2a1d13b11b19,2021-03-15 14:41:57.872786,2021-03-15 14:46:57.949965,https://says-api-uploaded-audio.s3.amazonaws.com/saysuseraudio1615819317619.m4a,https://says-api-streamable-audio.s3.amazonaws.com/saysuseraudio1615819317619.mp3,1615819317734-m2sxk2,Complete,Transcode job 1615819317734-m2sxk2 was completed.,6.0,False
46f2b755-0cbf-4e34-bbc0-701c794ab643,2021-03-15 14:41:40.234053,2021-03-15 14:46:40.372462,https://says-api-uploaded-audio.s3.amazonaws.com/saysuseraudio1615819299951.m4a,https://says-api-streamable-audio.s3.amazonaws.com/saysuseraudio1615819299951.mp3,1615819300098-41uy4v,Complete,Transcode job 1615819300098-41uy4v was completed.,10.0,False
84cb5b23-465f-44fc-8366-5913a9350efb,2021-02-23 16:57:56.379524,2021-02-23 17:02:56.497350,https://says-api-uploaded-audio.s3.amazonaws.com/saysuseraudio1614099476107.m4a,https://says-api-streamable-audio.s3.amazonaws.com/saysuseraudio1614099476107.mp3,1614099476281-52dt18,Complete,Transcode job 1614099476281-52dt18 was completed.,34.0,True
3f4d5feb-8109-4f15-9d6b-93f35b6bb5b1,2021-03-16 05:52:54.326822,2021-03-16 05:57:54.432961,https://says-api-uploaded-audio.s3.amazonaws.com/saysuseraudio1615873974073.m4a,https://says-api-streamable-audio.s3.amazonaws.com/saysuseraudio1615873974073.mp3,1615873974206-b8g5bf,Complete,Transcode job 1615873974206-b8g5bf was completed.,6.0,False
a0362d27-0c3b-4259-9d59-e755da5f0833,2021-03-16 05:53:16.692670,2021-03-16 05:58:16.770601,https://says-api-uploaded-audio.s3.amazonaws.com/saysuseraudio1615873996483.m4a,https://says-api-streamable-audio.s3.amazonaws.com/saysuseraudio1615873996483.mp3,1615873996591-rtdro1,Complete,Transcode job 1615873996591-rtdro1 was completed.,6.0,False
e7215ae1-080f-493b-8d28-d04e3a1ff722,2021-03-16 05:53:21.401027,2021-03-16 05:58:21.451483,https://says-api-uploaded-audio.s3.amazonaws.com/saysuseraudio1615874001223.m4a,https://says-api-streamable-audio.s3.amazonaws.com/saysuseraudio1615874001223.mp3,1615874001297-yjn7ml,Complete,Transcode job 1615874001297-yjn7ml was completed.,6.0,False
110a3f7c-1c07-4415-bc46-9e07910032ff,2021-03-16 05:53:22.306483,2021-03-16 05:58:22.364486,https://says-api-uploaded-audio.s3.amazonaws.com/saysuseraudio1615874002147.m4a,https://says-api-streamable-audio.s3.amazonaws.com/saysuseraudio1615874002147.mp3,1615874002216-oxsig6,Complete,Transcode job 1615874002216-oxsig6 was completed.,6.0,False
9afb3472-9dc9-498c-8948-dcf411ceb133,2021-03-16 05:53:23.547324,2021-03-16 05:58:23.599410,https://says-api-uploaded-audio.s3.amazonaws.com/saysuseraudio1615874003355.m4a,https://says-api-streamable-audio.s3.amazonaws.com/saysuseraudio1615874003355.mp3,1615874003459-qo81py,Complete,Transcode job 1615874003459-qo81py was completed.,6.0,False
f11559d7-d8ac-4e78-9868-c3352e02ce66,2022-08-28 17:57:32.142763,2022-08-28 17:57:37.335935,https://says-api-uploaded-audio.s3.amazonaws.com/saysuseraudio1661709451907.m4a,https://says-api-streamable-audio.s3.amazonaws.com/saysuseraudio1661709451907.mp3,1661709452044-k385bg,Complete,Transcode job 1661709452044-k385bg was completed.,18.0,True
